# telescope   = tel13
# season      = 2014-2015
# filter      = RG715
# aperture    = 6.000               pix
# deblend     = 1
# gliese      = 1132
# lhs         = 281
# nltt        = 23819
# twomass     = 10145184-4709244
# ra          = 10:14:51.770        hr
# dec         = -47:09:24.10        deg
# pmra        = -1.04648201531881   arcsec/yr
# pmdec       = 0.416445772717513   arcsec/yr
# aflag       = R 
# plx         = 0.08307             arcsec
# e_plx       = 0.00169             arcsec
# r_plx       = 2005AJ....129.1954J
# distmod     = 0.402778947673816   mag
# s_distmod   = T
# bjmag       = 13.95               mag
# rfmag       = 11.93               mag
# inmag       = 9.57                mag
# jmag        = 9.245               mag
# e_jmag      = 0.026               mag
# q_jmag      = A
# hmag        = 8.666               mag
# e_hmag      = 0.031               mag
# q_hmag      = A
# kmag        = 8.322               mag
# e_kmag      = 0.027               mag
# q_kmag      = A
# vest        = 13.49               mag
# s_vest      = R
# vmjest      = 4.245               mag
# spectype    = M3.5
# r_spectype  = 1996AJ....112.2799H
# mass        = 0.180204199469014   Msol
# radius      = 0.201979294465034   Rsol
# null_dc[1]  = 0.000114            mag
# null_dc[2]  = 0.000573            mag
# null_cm     = 0.844670            mag/mag
# null_fwhm_k = -0.001020           mag/pix
# null_fwhm_0 = 2.516000            pix
# null_chidof = 3.918
# null_nfit   = 9264
# null_nparm  = 4
#
#BJD           Mag         e_Mag       tExp    DMag    FWHM   Ellip Airmass X         Y         Angle   Sky      Peak  S  V  R F CM        Corr_Mag   
#------------- ----------- ----------- ------- ------- ------ ----- ------- --------- --------- ------- -------- ----- -- -- - - --------- -----------
2456686.575975    0.006545    0.002957  18.023  0.0059  2.849 0.061 1.75434  1023.407  1022.947    0.01    62.65 14108  1  1 0 0 -0.000952    0.007575
2456686.576488    0.001263    0.002979  18.023  0.0103  2.944 0.075 1.74889  1023.582  1023.727    0.00    62.97 13710  1  1 0 0 -0.000969    0.002403
2456686.594938    0.007975    0.002671  18.023 -0.0015  2.997 0.065 1.57700  1023.393  1023.726    0.02    61.12 12915  1  1 0 0 -0.000192    0.008513
2456686.595453   -0.007899    0.002651  18.023 -0.0059  3.072 0.055 1.57280  1023.568  1024.671    0.01    61.03 13078  1  1 0 0 -0.000149   -0.007320
2456686.614071    0.005338    0.002420  18.023 -0.0037  3.045 0.064 1.43881  1023.302  1023.117    0.02    47.92 13737  1  1 0 0  0.001366    0.004609
2456686.614586    0.004564    0.002426  18.023 -0.0056  3.171 0.062 1.43555  1023.275  1023.808    0.02    49.55 11991  1  1 0 0  0.001408    0.003929
2456686.630131    0.008506    0.002303  18.023 -0.0325  2.808 0.065 1.34668  1022.913  1024.814    0.02    41.15 16725  1  1 0 0  0.002355    0.006700
2456686.630647    0.004500    0.002281  18.023 -0.0303  2.727 0.058 1.34403  1024.552  1023.168    0.02    43.79 16303  1  1 0 0  0.002375    0.002595
2456686.643916    0.013558    0.002189  18.023 -0.0361  2.651 0.079 1.28144  1023.137  1024.175    0.03    35.12 17708  1  1 0 0  0.002889    0.011142
2456686.644426    0.004045    0.002193  18.023 -0.0360  2.554 0.088 1.27924  1023.388  1023.657    0.03    36.87 16995  1  1 0 0  0.002913    0.001509
2456686.666312    0.009557    0.002072  18.023 -0.0296  2.554 0.059 1.19745  1024.652  1023.362    0.02    40.13 18056  1  1 0 0  0.003727    0.006333
2456686.666823    0.002512    0.002065  18.023 -0.0328  2.392 0.069 1.19581  1024.554  1023.832    0.02    40.53 21428  1  1 0 0  0.003717   -0.000869
2456686.682353    0.011043    0.002010  18.023 -0.0303  2.667 0.052 1.15115  1024.676  1023.637    0.03    37.77 14231  1  1 0 0  0.003430    0.008185
2456686.682870    0.005506    0.002007  18.023 -0.0315  2.420 0.048 1.14983  1024.564  1022.814    0.03    38.05 20653  1  1 0 0  0.003420    0.002404
2456686.698560    0.010788    0.001976  18.023 -0.0262  2.431 0.082 1.11424  1022.952  1022.604    0.04    32.66 21914  1  1 0 0  0.003169    0.007910
2456686.699076    0.003345    0.001960  18.023 -0.0258  2.235 0.061 1.11321  1023.132  1022.866    0.04    39.18 24211  1  1 0 0  0.003161    0.000274
2456686.717366    0.009219    0.001935  18.023 -0.0332  2.453 0.052 1.08228  1022.941  1023.058    0.04    29.02 21977  1  1 0 0  0.003245    0.006300
2456686.717879    0.011001    0.001925  18.023 -0.0306  2.488 0.052 1.08156  1023.045  1022.182    0.04    28.92 22271  1  1 0 0  0.003250    0.008113
2456686.734387    0.006421    0.001913  18.023 -0.0333  2.461 0.063 1.06238  1024.125  1023.790    0.04    28.97 22121  1  1 0 0  0.004041    0.002837
2456686.734905    0.005353    0.001905  18.023 -0.0362  2.340 0.067 1.06190  1024.091  1023.734    0.05    28.42 22480  1  1 0 0  0.004075    0.001617
2456686.748550    0.006803    0.001899  18.023 -0.0378  2.266 0.065 1.05187  1023.634  1024.044    0.05    25.22 25061  1  1 0 0  0.004463    0.002664
2456686.749061    0.002000    0.001895  18.023 -0.0377  2.368 0.072 1.05159  1024.154  1023.067    0.05    23.55 23388  1  1 0 0  0.004451   -0.002025
2456686.765793    0.002604    0.001878  18.023 -0.0358  2.508 0.066 1.04613  1023.788  1023.049    0.06    26.32 21187  1  1 0 0  0.004031   -0.000924
2456686.766302    0.003420    0.001880  18.023 -0.0319  2.372 0.061 1.04608  1023.985  1022.276    0.06    26.78 24200  1  1 0 0  0.004012   -0.000230
2456686.783481    0.011022    0.001889  18.023 -0.0284  2.265 0.066 1.04813  1021.704  1022.741  179.96    34.36 22404  2  1 0 0  0.003439    0.007288
2456686.783991    0.007918    0.001890  18.023 -0.0298  2.367 0.095 1.04830  1022.112  1023.584  179.96    33.20 20558  2  1 0 0  0.003481    0.004253
2456686.800362    0.004787    0.001900  18.023 -0.0310  2.245 0.067 1.05754  1021.936  1023.477  179.96    35.68 21537  2  1 0 0  0.004840   -0.000150
2456686.800874    0.007239    0.001897  18.023 -0.0279  2.188 0.076 1.05794  1022.253  1024.199  179.96    34.89 26361  2  1 0 0  0.004882    0.002208
2456686.815919    0.008230    0.001910  18.023 -0.0262  2.202 0.074 1.07295  1022.055  1023.857  179.97    31.70 26270  2  1 0 0  0.004425    0.003599
2456686.816433    0.013972    0.001919  18.023 -0.0260  2.257 0.057 1.07358  1022.152  1025.780  179.97    27.51 25375  2  1 0 0  0.004400    0.009418
2456686.832386    0.004358    0.001938  18.023 -0.0255  2.471 0.094 1.09678  1022.080  1023.202  179.97    26.83 17735  2  1 0 0  0.003563    0.000729
2456686.832898    0.009163    0.001931  18.023 -0.0210  2.547 0.124 1.09765  1022.224  1023.601  179.97    32.70 17401  2  1 0 0  0.003535    0.005636
2456686.849122    0.010895    0.001977  18.023 -0.0226  2.451 0.055 1.12966  1021.571  1022.603  179.97    30.04 17058  2  1 0 0  0.003304    0.007465
2456686.849633    0.008709    0.001971  18.023 -0.0256  2.476 0.108 1.13081  1022.011  1022.823  179.97    32.04 19251  2  1 0 0  0.003330    0.005282
2456686.868184    0.003992    0.002045  18.023 -0.0240  2.560 0.118 1.17916  1023.208  1023.334  179.97    30.36 15838  2  1 0 0  0.003901    0.000169
2456686.868697    0.002512    0.002040  18.023 -0.0219  2.564 0.067 1.18069  1022.790  1022.783  179.97    38.92 16520  2  1 0 0  0.003890   -0.001298
2456686.882847    0.012906    0.002135  18.023 -0.0244  2.600 0.039 1.22735  1022.689  1023.260  179.98    49.90 15092  2  1 0 0  0.003571    0.009402
2456686.883363    0.016167    0.002127  18.023 -0.0252  2.478 0.041 1.22922  1022.781  1025.242  179.98    55.27 16704  2  1 0 0  0.003524    0.012578
2456687.557111    0.017559    0.003375  18.023 -0.0441  2.783 0.057 1.94903  1023.274  1021.706    0.00    44.62 12908  1  1 0 0  0.004991    0.013502
2456687.557623    0.024527    0.003358  18.023 -0.0438  2.797 0.059 1.94212  1023.964  1022.902   -0.00    41.90 15663  1  1 0 0  0.004981    0.020492
2456687.576183    0.010345    0.002922  18.023 -0.0435  2.428 0.050 1.72418  1023.199  1021.935    0.01    43.34 20312  1  1 0 0  0.004754    0.006125
2456687.576700    0.012521    0.002913  18.023 -0.0375  2.462 0.064 1.71892  1024.511  1024.982    0.01    43.13 18572  1  1 0 0  0.004749    0.008340
2456687.595254    0.008004    0.002618  18.023 -0.0421  2.412 0.057 1.55296  1023.668  1022.562    0.01    42.88 18334  1  1 0 0  0.005454    0.003177
2456687.595772    0.008346    0.002617  18.023 -0.0428  2.425 0.052 1.54891  1023.824  1022.846    0.02    41.08 20127  1  1 0 0  0.005486    0.003504
2456687.611849    0.020121    0.002437  18.023 -0.0501  2.508 0.050 1.43589  1023.095  1023.673    0.02    38.56 17257  1  1 0 0  0.006224    0.014741
2456687.612359    0.010942    0.002446  18.023 -0.0513  2.422 0.056 1.43268  1024.007  1023.008    0.02    39.37 21509  1  1 0 0  0.006241    0.005460
2456687.627192    0.016067    0.002293  18.023 -0.0543  2.359 0.051 1.34801  1022.732  1023.445    0.02    41.21 20115  1  1 0 0  0.006547    0.010261
2456687.627701    0.013074    0.002315  18.023 -0.0580  2.540 0.047 1.34538  1023.367  1024.304    0.02    39.58 16502  1  1 0 0  0.006542    0.007458
2456687.639971    0.007839    0.002213  18.023 -0.0511  2.348 0.045 1.28695  1023.364  1022.778    0.02    35.86 18723  1  1 0 0  0.006420    0.002131
2456687.640480    0.020593    0.002225  18.023 -0.0536  2.550 0.054 1.28472  1023.919  1022.379    0.03    38.34 17311  1  1 0 0  0.006415    0.015095
2456687.662299    0.008927    0.002093  18.023 -0.0536  2.842 0.058 1.20178  1023.880  1024.240    0.02    33.19 15036  1  1 0 0  0.006293    0.003830
2456687.662814    0.010910    0.002115  18.023 -0.0571  2.664 0.059 1.20010  1024.754  1023.933    0.02    36.30 16913  1  1 0 0  0.006291    0.005633
2456687.678334    0.013772    0.002056  18.023 -0.0632  2.427 0.055 1.15462  1024.252  1024.103    0.03    31.81 19794  1  1 0 0  0.006821    0.007805
2456687.678855    0.008261    0.002030  18.023 -0.0662  2.468 0.047 1.15326  1024.478  1023.328    0.03    35.74 17710  1  1 0 0  0.006839    0.002320
2456687.694744    0.006731    0.001990  18.023 -0.0600  2.188 0.042 1.11652  1023.211  1023.236    0.04    35.00 23400  1  1 0 0  0.007954   -0.000437
2456687.695261    0.011963    0.001975  18.023 -0.0585  2.189 0.050 1.11548  1023.637  1024.481    0.04    33.80 20685  1  1 0 0  0.007997    0.004760
2456687.713791    0.015925    0.001963  18.023 -0.0691  2.629 0.078 1.08355  1024.012  1022.522    0.05    37.01 15816  1  1 0 0  0.008880    0.008426
2456687.714298    0.010740    0.001959  18.023 -0.0669  2.422 0.050 1.08283  1024.383  1023.782    0.04    36.65 18551  1  1 0 0  0.008891    0.003020
2456687.731413    0.011268    0.001941  18.023 -0.0656  2.324 0.048 1.06266  1023.717  1023.317    0.05    30.00 21427  1  1 0 0  0.008480    0.003795
2456687.731914    0.014885    0.001936  18.023 -0.0667  2.312 0.053 1.06219  1023.972  1022.635    0.05    28.99 21146  1  1 0 0  0.008444    0.007430
2456687.748410    0.014926    0.001914  18.023 -0.0722  2.059 0.047 1.05054  1023.838  1024.214    0.05    29.84 29646  1  1 0 0  0.007798    0.007759
2456687.748920    0.010899    0.001912  18.023 -0.0717  2.142 0.041 1.05030  1024.309  1025.106    0.05    30.27 22672  1  1 0 0  0.007811    0.003804
2456687.763338    0.011924    0.001933  18.023 -0.0721  2.271 0.039 1.04611  1023.090  1024.238    0.06    23.34 22139  1  1 0 0  0.008178    0.004651
2456687.763851    0.015536    0.001927  18.023 -0.0713  2.177 0.041 1.04606  1023.874  1024.480    0.06    26.55 22421  1  1 0 0  0.008163    0.008181
2456687.780869    0.013665    0.001919  18.023 -0.0689  2.149 0.058 1.04815  1021.972  1022.680  179.96    33.79 25401  2  1 0 0  0.007661    0.006246
2456687.781381    0.013991    0.001903  18.023 -0.0662  2.158 0.067 1.04833  1022.257  1022.632  179.96    35.61 22547  2  1 0 0  0.007646    0.006595
2456687.794029    0.016312    0.001941  18.023 -0.0584  2.336 0.121 1.05487  1020.370  1024.886  179.94    36.92 18987  2  1 0 0  0.008348    0.008503
2456687.794536    0.013457    0.001931  18.023 -0.0641  2.212 0.059 1.05522  1021.001  1024.501  179.94    37.73 20656  2  1 0 0  0.008383    0.005493
2456687.813606    0.010440    0.001938  18.023 -0.0646  2.106 0.068 1.07340  1019.576  1023.247  179.94    32.85 24217  2  1 0 0  0.008486    0.002280
2456687.814111    0.014617    0.001943  18.023 -0.0638  2.204 0.076 1.07402  1020.623  1024.065  179.94    33.51 23104  2  1 0 0  0.008464    0.006576
2456687.830768    0.006767    0.001974  18.023 -0.0600  3.077 0.110 1.09860  1020.603  1023.738  179.95    35.22 12211  2  1 0 0  0.008236   -0.000191
2456687.831284    0.015539    0.001975  18.023 -0.0602  3.128 0.176 1.09949  1021.072  1022.972  179.95    35.33 11708  2  1 0 0  0.008247    0.008625
2456687.848051    0.013487    0.002023  18.023 -0.0582  3.106 0.107 1.13332  1020.804  1022.493  179.95    30.02 11194  2  1 0 0  0.008488    0.006346
2456687.848558    0.002828    0.002021  18.023 -0.0651  3.118 0.138 1.13449  1021.633  1023.406  179.96    30.46 12150  2  1 0 0  0.008488   -0.004301
2456687.867899    0.014319    0.002077  18.023 -0.0699  3.111 0.099 1.18640  1022.140  1023.315  179.98    30.22 12349  2  1 0 0  0.008654    0.007044
2456687.868415    0.011157    0.002091  18.023 -0.0705  2.921 0.154 1.18799  1023.034  1023.282  179.98    31.89 12708  2  1 0 0  0.008669    0.003675
2456687.882454    0.008934    0.002145  18.023 -0.0661  3.172 0.109 1.23576  1019.901  1024.103  179.97    43.78 12203  2  1 0 0  0.009076    0.001364
2456687.882973    0.008677    0.002167  18.023 -0.0692  2.807 0.080 1.23770  1021.179  1023.589  179.98    48.05 13643  2  1 0 0  0.009093    0.000721
2456688.554240    0.011695    0.003367  18.023 -0.1242  2.839 0.132 1.95159  1023.783  1022.768   -0.00    69.93 13820  1  1 0 0  0.004078    0.008466
2456688.554759    0.009176    0.003366  18.023 -0.1177  2.753 0.084 1.94456  1023.725  1022.673   -0.01    69.73 15644  1  1 0 0  0.004098    0.005842
2456688.573191    0.006749    0.002948  18.023 -0.1094  2.683 0.070 1.72735  1024.989  1023.231    0.00    65.86 15798  1  1 0 0  0.004701    0.002834
2456688.573712    0.013835    0.002956  18.023 -0.1173  2.815 0.079 1.72202  1024.354  1022.115    0.00    64.58 13799  1  1 0 0  0.004716    0.010042
2456688.589468    0.011542    0.002678  18.023 -0.0938  2.418 0.083 1.57787  1023.420  1023.492    0.01    52.85 16907  1  1 0 0  0.004831    0.007247
2456688.589982    0.006347    0.002668  18.023 -0.1023  2.489 0.103 1.57367  1024.087  1024.248    0.01    49.05 20365  1  1 0 0  0.004819    0.002134
2456688.607142    0.012513    0.002465  18.023 -0.0894  2.405 0.076 1.44885  1023.447  1023.816    0.02    46.14 20394  1  1 0 0  0.004418    0.008554
2456688.607659    0.003106    0.002460  18.023 -0.0933  2.252 0.078 1.44550  1023.511  1024.304    0.02    49.06 20510  1  1 0 0  0.004405   -0.000999
2456688.623877    0.009837    0.002305  18.023 -0.0907  2.181 0.075 1.35130  1023.064  1022.524    0.02    44.76 21281  1  1 0 0  0.004063    0.005949
2456688.624389    0.010468    0.002310  18.023 -0.0879  2.255 0.063 1.34864  1023.733  1023.748    0.02    44.71 22807  1  1 0 0  0.004082    0.006640
2456688.636387    0.006270    0.002237  18.023 -0.0856  2.371 0.063 1.29093  1022.949  1023.477    0.03    43.79 17271  1  1 0 0  0.004526    0.002185
2456688.636894    0.006989    0.002241  18.023 -0.0925  2.460 0.075 1.28869  1024.309  1024.200    0.02    46.04 20072  1  1 0 0  0.004545    0.002979
2456688.653814    0.010687    0.002144  18.023 -0.0782  2.194 0.069 1.22157  1023.749  1023.647    0.03    39.23 24117  1  1 0 0  0.004830    0.006164
2456688.654327    0.007524    0.002145  18.023 -0.0842  2.209 0.067 1.21975  1023.869  1023.966    0.03    41.82 27822  1  1 0 0  0.004832    0.003014
2456688.668572    0.012507    0.002088  18.023 -0.0847  2.348 0.062 1.17415  1022.451  1023.824    0.04    43.43 18641  1  1 0 0  0.004888    0.008092
2456688.669083    0.009044    0.002061  18.023 -0.0809  2.318 0.066 1.17267  1022.729  1022.752    0.04    41.72 21963  1  1 0 0  0.004889    0.004597
2456688.683280    0.011018    0.002035  18.023 -0.0835  2.384 0.053 1.13572  1022.260  1023.855    0.04    43.34 20751  1  1 0 0  0.004905    0.006626
2456688.683792    0.010199    0.002047  18.023 -0.0838  2.280 0.058 1.13452  1022.677  1024.312    0.04    42.40 21841  1  1 0 0  0.004895    0.005709
2456688.702532    0.012422    0.001976  18.023 -0.0658  2.073 0.070 1.09700  1022.320  1023.804    0.04    41.69 25600  1  1 0 0  0.004548    0.008013
2456688.703047    0.008735    0.001971  18.023 -0.0629  2.175 0.081 1.09613  1022.803  1024.838    0.04    40.82 29232  1  1 0 0  0.004538    0.004439
2456688.717856    0.010716    0.001939  18.023 -0.0703  2.116 0.063 1.07451  1022.558  1022.975    0.05    33.38 25274  1  1 0 0  0.004153    0.006686
2456688.718363    0.010120    0.001964  18.023 -0.0661  2.127 0.062 1.07388  1022.985  1023.367    0.04    32.37 25835  1  1 0 0  0.004140    0.006112
2456688.732853    0.009604    0.001934  18.023 -0.0710  1.990 0.066 1.05901  1022.685  1023.847    0.05    24.30 29910  1  1 0 0  0.004681    0.004999
2456688.733361    0.009786    0.001935  18.023 -0.0695  2.036 0.071 1.05860  1023.226  1021.725    0.05    25.40 26738  1  1 0 0  0.004715    0.005199
2456688.748395    0.007535    0.001914  18.023 -0.0694  2.050 0.060 1.04933  1022.880  1022.913    0.05    34.07 31320  1  1 0 0  0.005295    0.002472
2456688.748910    0.005653    0.001916  18.023 -0.0683  1.986 0.068 1.04912  1023.461  1020.723    0.05    34.03 23567  1  1 0 0  0.005289    0.000531
2456688.765623    0.011334    0.001915  18.023 -0.0663  1.983 0.063 1.04589  1021.922  1023.217  179.95    36.92 30425  2  1 0 0  0.005113    0.005898
2456688.766131    0.011414    0.001912  18.023 -0.0662  1.977 0.058 1.04591  1022.139  1023.130  179.96    36.78 31817  2  1 0 0  0.005112    0.005972
2456688.782739    0.009713    0.001919  18.023 -0.0649  2.060 0.076 1.04997  1019.822  1024.379  179.94    33.12 26767  2  1 0 0  0.005071    0.004392
2456688.783252    0.013403    0.001926  18.023 -0.0658  1.950 0.061 1.05021  1020.255  1024.362  179.94    33.51 24933  2  1 0 0  0.005067    0.007973
2456688.800229    0.013564    0.001929  18.023 -0.0707  2.041 0.064 1.06199  1020.588  1022.918  179.94    26.40 27573  2  1 0 0  0.004846    0.008413
2456688.800740    0.010240    0.001937  18.023 -0.0666  2.123 0.087 1.06246  1020.967  1023.583  179.94    28.05 21811  2  1 0 0  0.004839    0.005178
2456688.822661    0.007111    0.001957  18.023 -0.0710  1.993 0.073 1.08968  1021.801  1023.578  179.97    38.86 25037  2  1 0 0  0.005203    0.001609
2456688.823176    0.007418    0.001962  18.023 -0.0681  2.041 0.060 1.09049  1022.244  1021.833  179.97    39.68 26810  2  1 0 0  0.005212    0.001958
